상품코드,상품명,옵션,공급가,할인율,재고수량,판매상태
P0053,상품53,XL,7843,0.3,151,단종
P0054,상품54,L,33754,0.1,205,품절
P0055,상품55,M,2185,0.3,167,단종
P0056,상품56,XL,9856,0.15,109,품절
P0057,상품57,XL,45201,0.15,280,품절
P0058,상품58,XL,46030,0.2,272,판매중
P0059,상품59,,5280,0.05,43,판매중
P0060,상품60,,12121,0.2,109,품절
P0061,상품61,FREE,22773,0.1,130,품절
P0062,상품62,S,23206,0.3,149,판매중
P0063,상품63,XL,40582,0.2,69,단종
P0064,상품64,L,37121,0.15,20,품절
P0065,상품65,M,5796,0.2,64,품절
P0066,상품66,FREE,8516,0.1,193,판매중
P0067,상품67,M,38406,0.2,289,판매중
P0068,상품68,,18480,0,288,단종
P0069,상품69,L,8491,0.05,55,판매중
P0070,상품70,FREE,20381,0.3,7,판매중
P0071,상품71,S,28101,0,96,판매중
P0072,상품72,M,39456,0.2,59,품절
P0073,상품73,M,11969,0.05,81,단종
P0074,상품74,XL,7739,0.3,277,품절
P0075,상품75,XL,37058,0.1,161,판매중
P0076,상품76,L,14606,0.1,20,판매중
P0077,상품77,FREE,1688,0.2,163,품절
P0078,상품78,XL,26642,0.15,32,판매중
P0079,상품79,XL,21797,0.15,57,품절
P0080,상품80,FREE,15102,,240,단종
P0081,상품81,M,24319,0.2,277,판매중
P0082,상품82,M,21140,0,184,판매중
P0083,상품83,XL,19401,0.05,46,단종
P0084,상품84,L,38641,0.15,116,품절
P0085,상품85,L,21105,0.05,95,품절
P0086,상품86,M,38945,,171,판매중
P0087,상품87,FREE,36666,0.3,47,판매중
P0088,상품88,M,15428,0.3,205,판매중
P0089,상품89,S,18567,0.05,38,판매중
P0090,상품90,L,42640,0.2,183,품절
P0091,상품91,S,31725,0.3,256,품절
P0092,상품92,M,6053,0.1,91,판매중
P0093,상품93,L,10275,0.3,54,단종
P0094,상품94,L,34708,0.15,64,판매중
P0095,상품95,S,10285,0.15,161,단종
P0096,상품96,M,45053,0.2,91,품절
P0097,상품97,M,29353,0.05,24,단종
P0098,상품98,L,44763,0.2,32,단종
P0099,상품99,FREE,30274,0.1,128,단종
P0100,상품100,,29796,0.3,5,품절
P0101,상품101,L,23195,0.2,248,판매중
P0102,상품102,FREE,43365,0.15,9,판매중
P0103,상품103,FREE,46331,0.2,70,단종
P0104,상품104,L,9200,0.1,141,품절
P0105,상품105,M,37967,0.2,45,판매중
P0106,상품106,M,32850,0,270,품절
P0107,상품107,XL,33826,0.05,115,판매중
P0108,상품108,XL,21511,0.3,115,단종
P0109,상품109,FREE,28016,0,140,단종
P0110,상품110,S,15383,0.2,261,단종
P0111,상품111,,25162,0.05,104,품절
P0112,상품112,L,20576,0.3,282,품절
P0113,상품113,XL,11825,0.1,43,판매중
P0114,상품114,FREE,40721,0.1,193,판매중
P0115,상품115,XL,11209,0.2,111,단종
P0116,상품116,XL,48159,0.15,201,단종
P0117,상품117,XL,42744,0.15,263,판매중
P0118,상품118,S,36666,,268,판매중
P0119,상품119,S,17723,0.2,136,단종
P0120,상품120,,6486,0,41,품절
P0121,상품121,XL,16793,0.05,203,판매중
P0122,상품122,M,22329,0.15,249,판매중
P0123,상품123,FREE,8811,0.05,273,품절
P0124,상품124,L,8739,,142,판매중
P0125,상품125,FREE,25828,0.3,2,판매중
P0126,상품126,FREE,35626,0.3,10,판매중
P0127,상품127,M,42125,0.05,133,판매중
P0128,상품128,M,12328,0.2,277,판매중
P0129,상품129,FREE,18906,0.3,128,단종
P0130,상품130,FREE,30255,0.1,182,품절
P0131,상품131,M,28522,0.3,292,품절
P0132,상품132,S,14423,0.15,12,판매중
P0133,상품133,S,38310,0.15,279,품절
P0134,상품134,M,45165,0.2,38,단종
P0135,상품135,L,25492,0.05,223,단종
P0136,상품136,FREE,45385,0.2,165,판매중
P0137,상품137,XL,9119,0.1,179,품절
P0138,상품138,L,36343,0.3,292,품절
P0139,상품139,XL,8411,0.2,195,판매중
P0140,상품140,L,37496,0.15,261,판매중
P0141,상품141,FREE,31250,0.2,209,단종
P0142,상품142,M,47670,0.1,230,단종
P0143,상품143,M,44833,0.2,184,단종
P0144,상품144,XL,1230,0,296,품절
P0145,상품145,FREE,27558,0.05,299,단종
P0146,상품146,,46842,0.3,252,단종
P0147,상품147,L,17228,0,10,품절
P0148,상품148,M,48270,0.2,203,품절
P0149,상품149,FREE,12675,0.05,5,품절
P0150,상품150,XL,18339,0.3,278,품절
P0151,상품151,L,10966,0.1,248,판매중
P0152,상품152,S,31612,0.1,138,단종
P0153,상품153,,7463,0.2,216,판매중
P0154,상품154,,24276,0.15,10,판매중
P0155,상품155,M,34237,0.15,47,품절
P0156,상품156,L,42679,,155,판매중
P0157,상품157,,35609,0.2,170,품절
P0158,상품158,FREE,5492,0,188,품절
P0159,상품159,S,34522,0.05,86,품절
P0160,상품160,FREE,43799,0.15,138,품절
P0161,상품161,M,40955,0.05,200,단종
P0162,상품162,XL,27195,,132,단종
P0163,상품163,,22603,0.3,132,단종
P0164,상품164,,47313,0.3,206,품절
P0165,상품165,L,29296,0.05,97,판매중
P0166,상품166,M,42018,0.2,296,품절
P0167,상품167,M,39104,0.3,134,품절
P0168,상품168,M,35510,0.1,70,단종
P0169,상품169,L,29880,0.3,205,판매중
P0170,상품170,,8591,0.15,156,판매중
P0171,상품171,XL,7972,0.15,164,품절
P0172,상품172,S,7551,0.2,28,단종
P0173,상품173,S,2525,0.05,253,단종
P0174,상품174,FREE,35638,0.2,226,품절
P0175,상품175,S,44445,0.1,88,판매중
P0176,상품176,M,15553,0.3,253,품절
P0177,상품177,M,25765,0.2,120,품절
P0178,상품178,FREE,31315,0.15,199,판매중
P0179,상품179,L,30602,0.2,169,품절
P0180,상품180,M,39903,0.1,40,판매중
P0181,상품181,,2010,0.2,163,품절
P0182,상품182,M,39027,0,204,판매중
P0183,상품183,S,43339,0.05,7,품절
P0184,상품184,FREE,10514,0.3,29,단종
P0185,상품185,M,25870,0,40,품절
P0186,상품186,S,43739,0.2,18,단종
P0187,상품187,M,4987,0.05,21,품절
P0188,상품188,S,8696,0.3,97,판매중
P0189,상품189,M,33745,0.1,142,단종
P0190,상품190,XL,13578,0.1,199,품절
P0191,상품191,L,42357,0.2,124,판매중
P0192,상품192,FREE,4944,0.15,89,품절
P0193,상품193,FREE,29080,0.15,267,판매중
P0194,상품194,XL,24149,,275,판매중
P0195,상품195,,47638,0.2,35,단종
P0196,상품196,FREE,18504,0,37,품절
P0197,상품197,M,12637,0.05,30,판매중
P0198,상품198,S,29056,0.15,46,단종
P0199,상품199,L,31747,0.05,50,품절
P0200,상품200,FREE,3629,,16,품절
